WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),Vitamin D (D2 + D3) (mcg),"Iron
(mg)",Sodium (mg),Potassium (mg),Sodium (mg)
Citrus fruits,53,0.81,13.34,10.58,1.8,0.31,0,0.15,2,166,2
"Jams, syrups, toppings",354,4.71,68.92,62.16,0.4,6.93,0.9,0.98,73,75,73
Citrus juice,39,0.5,9.2,9.1,0.1,0.1,0,0.2,1,162,1
Other fruit juice,47,0.77,10.18,8.18,0.3,0.34,0,0.06,2,182,2
Dried fruits,298,2.28,78.62,66.33,4.8,0.62,0,1.3,32,531,32
Other fruits and fruit salads,65,0.65,16,11.88,1.8,0.21,0,0.15,2,193,2
Apples,61,0.17,14.8,12.08,2.1,0.15,0,0.03,0,104,0
Other vegetables and combinations,160,2,8.53,0.66,6.7,14.66,0,0.55,7,485,7
Bananas,97,0.74,22.71,15.8,1.7,0.28,0,0,0,326,0
Melons,38,0.82,8.16,7.88,0.8,0.18,0,0.38,30,157,30
Grapes,69,0.72,18.1,15.48,0.9,0.16,0,0.36,2,191,2
Mango and papaya,60,0.82,14.98,13.66,1.6,0.38,0,0.16,1,168,1
Peaches and nectarines,43,1.06,9.18,7.89,1.5,0.28,0,0.3,13,131,13
Pears,59,0.37,15.18,9.73,3.1,0.15,0,0.18,3,104,3
Pineapple,50,0.54,13.12,9.85,1.4,0.12,0,0.29,1,109,1
Blueberries and other berries,42,0.67,9.69,6.73,2,0.25,0,0.28,7,85,7
Strawberries,35,0.64,7.63,5.34,1.8,0.22,0,0.28,10,89,10
"Gelatins, ices, sorbets",106,0.81,25.4,22.6,0.5,0.06,0,0.32,6,73,6
Apple juice,46,0.1,11.3,9.62,0.2,0.13,0,0.12,4,101,4
Baby food: fruit,68,0.68,16.44,10.49,1.7,0.21,0,0.26,2,199,2
Baby juice,47,0,11.7,10.7,0.1,0.1,0,0.57,8,91,8
"White potatoes, baked or boiled",126,1.87,20.45,1.62,1.4,4.25,0,0.34,166,372,166
Mashed potatoes and white potato mixtures,115,2.1,18.74,1.24,1.9,3.72,0,0.39,299,327,299
French fries and other fried white potatoes,225,2.5,23.23,0.34,1.8,14.07,0,0.53,295,435,295
Other starchy vegetables,122,1.3,31.8,17.46,1.7,0.35,0,0.55,120,486,120
Fried vegetables,269,1.24,34.72,1.55,1.6,13.94,0,0.27,154,247,154
Broccoli,22,3.17,2.85,0.38,2.7,0.49,0,2.14,33,196,33
Lettuce and lettuce salads,15,1.36,2.87,0.78,1.3,0.15,0,0.86,28,194,28
Spinach,27,2.85,2.41,0.42,1.6,0.62,0,1.26,111,582,111
Carrots,41,0.93,9.58,4.74,2.8,0.24,0,0.3,69,320,69
Vegetable juice,25,0.72,5.91,4.84,1.1,0.06,0,0.57,19,128,19
Other red and orange vegetables,56,1.08,7.86,3.21,2.8,2.82,0,1.35,13,200,13
Tomatoes,20,0.82,4.04,2.63,1.2,0.31,0,0.22,4,226,4
"Olives, pickles, pickled vegetables",40,1,9.09,8.19,0.9,0.18,0,0.43,955,169,955
Tomato-based condiments,109,1.08,27.1,21.54,0.3,0.32,0,0.39,928,265,928
String beans,31,1.83,6.97,3.26,2.7,0.22,0,1.03,6,211,6
Cabbage,25,1.28,5.8,3.2,2.5,0.1,0,0.47,18,170,18
Corn,86,3.27,18.7,6.26,2,1.35,0,0.52,15,270,15
Onions,32,1.83,7.34,2.33,2.6,0.19,0,1.48,16,276,16
Baby food: vegetable,44,1.44,9.56,2.92,1.6,0.25,0,0.48,32,183,32
Margarine,579,0.17,0.82,0,0,65.04,3.7,0.02,694,27,694
Mayonnaise,389,0.9,22.4,15.18,0.4,34,0.1,0.2,1000,35,1000
Salad dressings and vegetable oils,900,0,0,0,0,100,0,0.16,0,0,0
Vegetables on a sandwich,160,2,8.53,0.66,6.7,14.66,0,0.55,7,485,7
Sugars and honey,401,0,99.6,99.8,0,0.32,0,0.05,1,2,1
Sugar substitutes,399,0,99.35,99.22,0,0.31,0,0.05,1,2,1
Candy not containing chocolate,429,1.95,86.62,61.3,0.9,8.26,0,0.78,43,96,43
Candy containing chocolate,560,12.97,44.04,32.84,6.4,38.81,0,2.9,49,508,49
Coffee,1,0.12,0,0,0,0.02,0,0.01,2,49,2
Tea,1,0,0.3,0,0,0,0,0.02,3,37,3
Soft drinks,42,0,10.36,9.94,0,0.25,0,0.02,3,5,3
Diet soft drinks,2,0.11,0.29,0,0,0.03,0,0.11,8,8,8
Flavored or carbonated water,34,0,8.8,8.8,0,0,0,0.01,12,0,12
Other diet drinks,11,0,3.11,3.11,0,0.01,0,0,5,1,5
Beer,43,0.46,3.55,0,0,0,0,0.02,4,27,4
Liquor and cocktails,371,0,41.6,41.6,0,0.3,0,0.07,5,0,5
Wine,64,0.43,6.49,4.67,0.2,0.18,0.2,0.16,4,128,4
Tap water,0,0,0,0,0,0,0,0,3,0,3
Bottled water,0,0,0,0,0,0,0,0,2,0,2
Enhanced water,22,0,5.49,5.49,0,0,0,0,0,0,0
Baby water,0,0,0,0,0,0,0,0,0,0,0
Nutritional beverages,101,4.22,17.3,8.44,1.3,1.69,2.5,1.9,63,245,63
Protein and nutritional powders,353,19.9,66.2,65.8,0.4,1.4,0,12.82,385,947,385
Sport and energy drinks,46,0.25,12.08,12.08,0,0.08,0,0.02,35,3,35
Diet sport and energy drinks,5,0,1.38,1.38,0,0,0,0,75,0,75
